0.44,0.79,0.24,0.26,0.79,0.44,0.78,0.24,0.26,0.79,0.44,0.79,0.24,0.26,0.75,0.42,0.79,0.24,0.26,0.75,0.42,0.79,0.24,0.26,0.75,39.11144
0.44,0.78,0.24,0.26,0.79,0.44,0.79,0.24,0.26,0.75,0.42,0.79,0.24,0.26,0.75,0.42,0.79,0.24,0.26,0.75,0.42,0.79,0.23,0.25,0.75,35.23444
0.44,0.79,0.24,0.26,0.75,0.42,0.79,0.24,0.26,0.75,0.42,0.79,0.24,0.26,0.75,0.42,0.79,0.23,0.25,0.75,0.42,0.79,0.23,0.25,0.75,33.76534
0.42,0.79,0.24,0.26,0.75,0.42,0.79,0.24,0.26,0.75,0.42,0.79,0.23,0.25,0.75,0.42,0.79,0.23,0.25,0.75,0.42,0.8,0.23,0.25,0.75,32.30527
0.42,0.79,0.24,0.26,0.75,0.42,0.79,0.23,0.25,0.75,0.42,0.79,0.23,0.25,0.75,0.42,0.8,0.23,0.25,0.75,0.42,0.8,0.23,0.25,0.75,34.461040000000004
0.42,0.79,0.23,0.25,0.75,0.42,0.79,0.23,0.25,0.75,0.42,0.8,0.23,0.25,0.75,0.42,0.8,0.23,0.25,0.75,0.42,0.8,0.23,0.24,0.75,33.2573
0.42,0.79,0.23,0.25,0.75,0.42,0.8,0.23,0.25,0.75,0.42,0.8,0.23,0.25,0.75,0.42,0.8,0.23,0.24,0.75,0.42,0.8,0.23,0.24,0.75,34.51181
0.42,0.8,0.23,0.25,0.75,0.42,0.8,0.23,0.25,0.75,0.42,0.8,0.23,0.24,0.75,0.42,0.8,0.23,0.24,0.75,0.44,0.8,0.22,0.24,0.75,32.87878
0.42,0.8,0.23,0.25,0.75,0.42,0.8,0.23,0.24,0.75,0.42,0.8,0.23,0.24,0.75,0.44,0.8,0.22,0.24,0.75,0.44,0.81,0.22,0.24,0.75,29.8855
0.42,0.8,0.23,0.24,0.75,0.42,0.8,0.23,0.24,0.75,0.44,0.8,0.22,0.24,0.75,0.44,0.81,0.22,0.24,0.75,0.44,0.81,0.22,0.24,0.75,31.33618
0.42,0.8,0.23,0.24,0.75,0.44,0.8,0.22,0.24,0.75,0.44,0.81,0.22,0.24,0.75,0.44,0.81,0.22,0.24,0.75,0.45,0.81,0.21,0.23,0.75,32.60448
0.44,0.8,0.22,0.24,0.75,0.44,0.81,0.22,0.24,0.75,0.44,0.81,0.22,0.24,0.75,0.45,0.81,0.21,0.23,0.75,0.45,0.82,0.21,0.23,0.75,36.51809
0.44,0.81,0.22,0.24,0.75,0.44,0.81,0.22,0.24,0.75,0.45,0.81,0.21,0.23,0.75,0.45,0.82,0.21,0.23,0.75,0.47,0.82,0.21,0.23,0.75,35.6935
0.44,0.81,0.22,0.24,0.75,0.45,0.81,0.21,0.23,0.75,0.45,0.82,0.21,0.23,0.75,0.47,0.82,0.21,0.23,0.75,0.47,0.81,0.21,0.23,0.75,33.037440000000004
0.45,0.81,0.21,0.23,0.75,0.45,0.82,0.21,0.23,0.75,0.47,0.82,0.21,0.23,0.75,0.47,0.81,0.21,0.23,0.75,0.47,0.82,0.21,0.23,0.75,35.68752
0.45,0.82,0.21,0.23,0.75,0.47,0.82,0.21,0.23,0.75,0.47,0.81,0.21,0.23,0.75,0.47,0.82,0.21,0.23,0.75,0.47,0.81,0.21,0.22,0.75,35.377829999999996
0.47,0.82,0.21,0.23,0.75,0.47,0.81,0.21,0.23,0.75,0.47,0.82,0.21,0.23,0.75,0.47,0.81,0.21,0.22,0.75,0.47,0.81,0.2,0.22,0.79,35.06685
0.47,0.81,0.21,0.23,0.75,0.47,0.82,0.21,0.23,0.75,0.47,0.81,0.21,0.22,0.75,0.47,0.81,0.2,0.22,0.79,0.47,0.8,0.2,0.22,0.79,32.03941
